+17967,+102600;asia/vientiane ~~~~~~~~~~~~~~~~~ +07:00
+43133,+131900;asia/vladivostok ~~~~~~~~~~~~~~~ +10:00
+62030,+129730;asia/yakutsk ~~~~~~~~~~~~~~~~~~~ +09:00
+16795,+096160;asia/yangon ~~~~~~~~~~~~~~~~~~~~ +06:30
+56836,+060613;asia/yekaterinburg ~~~~~~~~~~~~~ +05:00
+40181,+044514;asia/yerevan ~~~~~~~~~~~~~~~~~~~ +04:00
+38800,-028517;atlantic/the azores ~~~~~~~~~~~~ z_295.
+32333,-064750;atlantic/bermuda ~~~~~~~~~~~~~~~ z_296.
+28000,-016000;atlantic/the canary islands ~~~~ z_297.
+15917,-023917;atlantic/cape verde ~~~~~~~~~~~~ -01:00
+62000,-006783;atlantic/the faroe islands ~~~~~ z_299.
+32750,-017000;atlantic/madeira ~~~~~~~~~~~~~~~ z_300.
+64147,-021940;atlantic/reykjavik ~~~~~~~~~~~~~~~~~~~~
-54250,-036750;atlantic/south georgia island ~~ -02:00
-15967,-005700;atlantic/saint helena ~~~~~~~~~~~~~~~~~
-51694,-057853;atlantic/port stanley ~~~~~~~~~~ -03:00
-34928,+138600;australia/adelaide ~~~~~~~~~~~~~ z_305.
-27468,+153028;australia/brisbane ~~~~~~~~~~~~~ +10:00
-31950,+141467;australia/broken hill ~~~~~~~~~~ z_307.
-39931,+143851;australia/currie ~~~~~~~~~~~~~~~ z_311.
-12438,+130841;australia/darwin ~~~~~~~~~~~~~~~ +09:30
-31675,+128883;australia/eucla ~~~~~~~~~~~~~~~~ +08:45
-42881,+147325;australia/hobart ~~~~~~~~~~~~~~~ z_311.
-20450,+149033;australia/lindeman island ~~~~~~ +10:00
-31554,+159085;australia/lord howe island ~~~~~ z_313.
-37814,+144963;australia/melbourne ~~~~~~~~~~~~ z_314.
-31952,+115859;australia/perth ~~~~~~~~~~~~~~~~ +08:00
-33868,+151210;australia/sydney ~~~~~~~~~~~~~~~ z_316.
-77500,-010000;etc/utc ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
+52367,+004900;europe/amsterdam ~~~~~~~~~~~~~~~ z_325.
+42500,+001517;europe/andorra ~~~~~~~~~~~~~~~~~ z_319.
+46350,+048050;europe/astrakhan ~~~~~~~~~~~~~~~ +04:00
+37984,+023728;europe/athens ~~~~~~~~~~~~~~~~~~ z_321.
+44817,+020467;europe/belgrade ~~~~~~~~~~~~~~~~ z_322.
+52520,+013405;europe/berlin ~~~~~~~~~~~~~~~~~~ z_323.
+48144,+017110;europe/bratislava ~~~~~~~~~~~~~~ z_354.
+50850,+004350;europe/brussels ~~~~~~~~~~~~~~~~ z_325.
+44433,+026104;europe/bucharest ~~~~~~~~~~~~~~~ z_326.
+47493,+019051;europe/budapest ~~~~~~~~~~~~~~~~ z_327.
+47697,+008690;europe/busingen ~~~~~~~~~~~~~~~~ z_377.
+47023,+028835;europe/chisinau ~~~~~~~~~~~~~~~~ z_329.
+55676,+012568;europe/copenhagen ~~~~~~~~~~~~~~ z_323.
+53350,-006260;europe/dublin ~~~~~~~~~~~~~~~~~~ z_331.
+36132,-005352;europe/gibraltar ~~~~~~~~~~~~~~~ z_332.
+49450,-002580;europe/guernsey ~~~~~~~~~~~~~~~~ z_343.
+60171,+024938;europe/helsinki ~~~~~~~~~~~~~~~~ z_334.
+54235,-004525;europe/the isle of man ~~~~~~~~~ z_343.
+41014,+028955;europe/istanbul ~~~~~~~~~~~~~~~~ +03:00
+49190,-002110;europe/jersey ~~~~~~~~~~~~~~~~~~ z_343.
+54700,+020453;europe/kaliningrad ~~~~~~~~~~~~~ +02:00
+50450,+030523;europe/kyiv ~~~~~~~~~~~~~~~~~~~~ z_339.
+58600,+049683;europe/kirov ~~~~~~~~~~~~~~~~~~~ +03:00
+38725,-009150;europe/lisbon ~~~~~~~~~~~~~~~~~~ z_341.
+46056,+014508;europe/ljubljana ~~~~~~~~~~~~~~~ z_322.
+51507,-000128;europe/london ~~~~~~~~~~~~~~~~~~ z_343.
+49612,+006132;europe/luxembourg ~~~~~~~~~~~~~~ z_325.
+40417,-003717;europe/madrid ~~~~~~~~~~~~~~~~~~ z_345.
+35900,+014517;europe/malta ~~~~~~~~~~~~~~~~~~~ z_346.
+60100,+019933;europe/mariehamn ~~~~~~~~~~~~~~~ z_334.
+53900,+027567;europe/minsk ~~~~~~~~~~~~~~~~~~~ +03:00
+43733,+007417;europe/monaco ~~~~~~~~~~~~~~~~~~ z_352.
+55756,+037617;europe/moscow ~~~~~~~~~~~~~~~~~~ +03:00
+59914,+010752;europe/oslo ~~~~~~~~~~~~~~~~~~~~ z_323.
+48857,+002352;europe/paris ~~~~~~~~~~~~~~~~~~~ z_352.
+42441,+019263;europe/podgorica ~~~~~~~~~~~~~~~ z_322.
+50083,+014417;europe/prague ~~~~~~~~~~~~~~~~~~ z_354.
+56949,+024106;europe/riga ~~~~~~~~~~~~~~~~~~~~ z_355.
+41893,+012483;europe/rome ~~~~~~~~~~~~~~~~~~~~ z_356.
+53203,+050141;europe/samara ~~~~~~~~~~~~~~~~~~ +04:00
+43942,+012458;europe/san marino ~~~~~~~~~~~~~~ z_356.
+43867,+018417;europe/sarajevo ~~~~~~~~~~~~~~~~ z_322.
+51533,+046017;europe/saratov ~~~~~~~~~~~~~~~~~ +04:00
+44952,+034102;europe/simferopol ~~~~~~~~~~~~~~ +03:00
+42000,+021433;europe/skopje ~~~~~~~~~~~~~~~~~~ z_322.
+42700,+023330;europe/sofia ~~~~~~~~~~~~~~~~~~~ z_363.
+59329,+018069;europe/stockholm ~~~~~~~~~~~~~~~ z_323.
